value,reason
1536,auto_duplicate
1537,auto_duplicate
1539,auto_duplicate
1540,auto_duplicate
15424,author_or_recipient_unknown
15425,author_or_recipient_unknown
15426,author_or_recipient_unknown
15427,author_or_recipient_unknown
15429,author_or_recipient_unknown
1543,auto_duplicate
1544,auto_duplicate
1545,auto_duplicate
1547,auto_duplicate
1548,auto_duplicate
1549,auto_duplicate
1550,auto_duplicate
1551,auto_duplicate
1553,auto_duplicate
1554,auto_duplicate
1555,auto_duplicate
1556,auto_duplicate
1557,auto_duplicate
1559,auto_duplicate
1560,auto_duplicate
1561,auto_duplicate
1563,auto_duplicate
1564,auto_duplicate
1565,auto_duplicate
1566,auto_duplicate
1567,auto_duplicate
1568,auto_duplicate
1569,auto_duplicate
1570,auto_duplicate
1571,auto_duplicate
1572,auto_duplicate
1573,auto_duplicate
1574,auto_duplicate
1575,auto_duplicate
1576,auto_duplicate
1577,auto_duplicate
1578,auto_duplicate
1579,auto_duplicate
1580,auto_duplicate
1582,auto_duplicate
1583,auto_duplicate
1585,auto_duplicate
1586,auto_duplicate
1587,auto_duplicate
1588,auto_duplicate
15881,author_or_recipient_unknown
1589,auto_duplicate
159,auto_duplicate
1591,auto_duplicate
1592,auto_duplicate
1593,auto_duplicate
1594,auto_duplicate
1595,auto_duplicate
1596,auto_duplicate
1598,auto_duplicate
1599,auto_duplicate
160,auto_duplicate
1600,auto_duplicate
1601,auto_duplicate
1602,auto_duplicate
1603,auto_duplicate
1604,auto_duplicate
1608,auto_duplicate
1611,auto_duplicate
1613,auto_duplicate
1614,auto_duplicate
1615,auto_duplicate
16151,auto_duplicate
16152,auto_duplicate
16156,auto_duplicate
16157,auto_duplicate
16158,auto_duplicate
16159,auto_duplicate
16160,auto_duplicate
16161,auto_duplicate
16162,auto_duplicate
16163,auto_duplicate
16165,auto_duplicate
16166,auto_duplicate
16167,auto_duplicate
16168,auto_duplicate
1617,auto_duplicate
16173,auto_duplicate
16174,auto_duplicate
16175,auto_duplicate
16176,auto_duplicate
16177,auto_duplicate
16178,auto_duplicate
16179,auto_duplicate
1618,auto_duplicate
16180,auto_duplicate
16181,auto_duplicate
16182,auto_duplicate
16183,auto_duplicate
16184,auto_duplicate
16187,auto_duplicate
16189,auto_duplicate
1619,auto_duplicate
16190,auto_duplicate
16191,auto_duplicate
