value,reason
1664,auto_duplicate
1666,auto_duplicate
1669,auto_duplicate
1671,auto_duplicate
1672,auto_duplicate
16807,marked_to_delete
16809,marked_to_delete
1681,auto_duplicate
16810,marked_to_delete
16811,marked_to_delete
16812,marked_to_delete
16813,marked_to_delete
16814,marked_to_delete
16815,marked_to_delete
16816,marked_to_delete
16817,marked_to_delete
16818,marked_to_delete
16819,marked_to_delete
16820,marked_to_delete
16821,marked_to_delete
16822,marked_to_delete
16823,marked_to_delete
16824,marked_to_delete
16825,marked_to_delete
16826,marked_to_delete
16827,marked_to_delete
16828,marked_to_delete
16829,marked_to_delete
16830,marked_to_delete
16833,marked_to_delete
16834,marked_to_delete
16835,marked_to_delete
16836,marked_to_delete
16838,marked_to_delete
16839,marked_to_delete
16840,marked_to_delete
16841,marked_to_delete
16842,marked_to_delete
16843,marked_to_delete
16844,marked_to_delete
16845,marked_to_delete
16847,marked_to_delete
16848,marked_to_delete
16849,marked_to_delete
16850,marked_to_delete
16851,marked_to_delete
16852,marked_to_delete
16862,auto_duplicate
16863,auto_duplicate
16868,from_emlo_matches
16869,from_emlo_matches
16870,from_emlo_matches
16871,from_emlo_matches
16872,from_emlo_matches
16873,from_emlo_matches
16874,from_emlo_matches
1688,auto_duplicate
1689,auto_duplicate
1692,auto_duplicate
1693,auto_duplicate
1698,auto_duplicate
1699,auto_duplicate
17001,auto_duplicate
17002,auto_duplicate
17004,auto_duplicate
1701,auto_duplicate
1702,auto_duplicate
1703,auto_duplicate
1704,auto_duplicate
1705,auto_duplicate
1706,auto_duplicate
1707,auto_duplicate
1708,auto_duplicate
1709,auto_duplicate
17099,auto_duplicate
1710,auto_duplicate
17100,auto_duplicate
17105,from_emlo_matches
1712,auto_duplicate
1714,auto_duplicate
1716,auto_duplicate
1717,auto_duplicate
1718,auto_duplicate
1719,auto_duplicate
1720,auto_duplicate
1721,auto_duplicate
1723,auto_duplicate
17232,from_emlo_matches
17233,from_emlo_matches
1724,auto_duplicate
1725,auto_duplicate
17257,auto_duplicate
1727,auto_duplicate
1728,auto_duplicate
1729,auto_duplicate
1730,auto_duplicate
1731,auto_duplicate
1732,auto_duplicate
1734,auto_duplicate
1736,auto_duplicate
1737,auto_duplicate
1739,auto_duplicate
1740,auto_duplicate
1743,auto_duplicate
1744,auto_duplicate
17447,auto_duplicate
1750,auto_duplicate
1751,auto_duplicate
17513,auto_duplicate
17514,auto_duplicate
17515,auto_duplicate
1752,auto_duplicate
1753,auto_duplicate
17538,auto_duplicate
1754,auto_duplicate
1758,auto_duplicate
1759,auto_duplicate
1761,auto_duplicate
17619,marked_to_delete
1762,auto_duplicate
1763,auto_duplicate
1764,auto_duplicate
1766,auto_duplicate
1767,auto_duplicate
1768,auto_duplicate
1770,auto_duplicate
1771,auto_duplicate
1772,auto_duplicate
1773,auto_duplicate
17746,auto_duplicate
1775,auto_duplicate
1776,auto_duplicate
17760,from_emlo_matches
1777,auto_duplicate
1778,auto_duplicate
1779,auto_duplicate
1780,auto_duplicate
1783,auto_duplicate
1790,auto_duplicate
17908,marked_to_delete
18050,auto_duplicate
18052,auto_duplicate
18110,auto_duplicate
18204,from_emlo_matches
18242,from_emlo_matches
18243,from_emlo_matches
18276,auto_duplicate
1828,auto_duplicate
1839,auto_duplicate
1840,auto_duplicate
1842,auto_duplicate
18573,from_emlo_matches
18630,auto_duplicate
18820,auto_duplicate
18850,from_emlo_matches
19044,from_emlo_matches
19045,from_emlo_matches
1919,marked_to_delete
19388,auto_duplicate
19416,auto_duplicate
19417,marked_to_delete
19468,auto_duplicate
19506,marked_to_delete
19507,marked_to_delete
19508,marked_to_delete
19509,marked_to_delete
19510,marked_to_delete
19511,auto_duplicate
19513,marked_to_delete
19514,marked_to_delete
19515,marked_to_delete
19516,marked_to_delete
19517,marked_to_delete
19518,marked_to_delete
19519,marked_to_delete
19520,marked_to_delete
19521,marked_to_delete
19522,marked_to_delete
19524,marked_to_delete
19525,marked_to_delete
19526,marked_to_delete
19527,marked_to_delete
19528,marked_to_delete
19529,marked_to_delete
19530,marked_to_delete
19531,marked_to_delete
19532,marked_to_delete
19533,marked_to_delete
19534,marked_to_delete
19535,marked_to_delete
19536,marked_to_delete
19537,marked_to_delete
19539,marked_to_delete
19540,marked_to_delete
19543,marked_to_delete
19544,marked_to_delete
19546,marked_to_delete
19547,marked_to_delete
19548,marked_to_delete
19549,marked_to_delete
19551,marked_to_delete
19552,marked_to_delete
19553,marked_to_delete
19554,marked_to_delete
19555,marked_to_delete
19556,marked_to_delete
19557,marked_to_delete
19558,marked_to_delete
19559,marked_to_delete
19560,marked_to_delete
19562,marked_to_delete
19563,marked_to_delete
19564,marked_to_delete
19565,marked_to_delete
19569,marked_to_delete
19570,marked_to_delete
19571,marked_to_delete
19572,marked_to_delete
19573,marked_to_delete
19574,marked_to_delete
19575,marked_to_delete
19576,marked_to_delete
19577,marked_to_delete
19578,marked_to_delete
19579,marked_to_delete
19580,marked_to_delete
19581,marked_to_delete
19582,marked_to_delete
19583,marked_to_delete
19584,marked_to_delete
19585,marked_to_delete
19586,marked_to_delete
19587,marked_to_delete
19588,marked_to_delete
19589,marked_to_delete
19590,marked_to_delete
19591,marked_to_delete
19592,marked_to_delete
19593,marked_to_delete
19594,marked_to_delete
19595,marked_to_delete
19596,marked_to_delete
19597,marked_to_delete
19598,marked_to_delete
19599,marked_to_delete
19600,marked_to_delete
19613,auto_duplicate
19614,auto_duplicate
19642,auto_duplicate
19647,from_emlo_matches
19648,from_emlo_matches
19909,from_emlo_matches
19911,auto_duplicate
200028,marked_to_delete
200065,auto_duplicate
200066,auto_duplicate
200068,marked_to_delete
200069,marked_to_delete
200081,marked_to_delete
200084,marked_to_delete
200085,marked_to_delete
200095,auto_duplicate
200103,marked_to_delete
200113,marked_to_delete
200119,marked_to_delete
200120,marked_to_delete
200124,marked_to_delete
200192,marked_to_delete
200202,from_emlo_matches
200203,from_emlo_matches
200204,auto_duplicate
200209,marked_to_delete
200214,marked_to_delete
200216,marked_to_delete
200217,marked_to_delete
200218,marked_to_delete
200219,marked_to_delete
200220,marked_to_delete
200221,marked_to_delete
200229,marked_to_delete
200233,marked_to_delete
200241,marked_to_delete
200253,marked_to_delete
200280,from_emlo_matches
200287,marked_to_delete
200330,marked_to_delete
200334,marked_to_delete
200373,marked_to_delete
200376,marked_to_delete
200400,marked_to_delete
200404,marked_to_delete
200410,marked_to_delete
200425,marked_to_delete
200426,marked_to_delete
200429,marked_to_delete
200434,marked_to_delete
200453,marked_to_delete
200456,marked_to_delete
200457,marked_to_delete
200460,marked_to_delete
200463,marked_to_delete
200467,marked_to_delete
200468,auto_duplicate
200470,marked_to_delete
200471,marked_to_delete
200501,marked_to_delete
200546,marked_to_delete
200562,marked_to_delete
200564,marked_to_delete
200579,marked_to_delete
200610,marked_to_delete
